,S&P500,WML,value_factor
2015-12-03,-1.437352686751413,-0.27,-1.35
2015-12-04,2.05256689525358,1.36,1.86
2015-12-07,-0.6989502943734861,1.13,-0.61
2015-12-08,-0.6489901427822256,1.15,-0.49
2015-12-09,-0.7738985127360191,-1.41,-0.82
2015-12-10,0.22513869815966764,-0.35,0.32
2015-12-11,-1.9422767130611769,0.46,-2.08
2015-12-14,0.4755559874067826,0.98,0.36
2015-12-15,1.0618561196917324,-0.31,0.59
2015-12-16,1.4514969343641775,0.08,1.38
2015-12-17,-1.5040520569611564,0.76,-1.65
2015-12-18,-1.7797220091700192,-0.55,-1.6
2015-12-21,0.7778402243204183,0.06,0.76
2015-12-22,0.881673640669842,-0.77,0.87
2015-12-23,1.2418068122691341,-1.45,1.18
2015-12-24,-0.1598636304808495,-0.01,-0.15
2015-12-28,-0.21785598289101996,1.01,-0.28
2015-12-29,1.0629762703622645,0.47,1.1
2015-12-30,-0.7217228597430927,0.32,-0.73
2015-12-31,-0.941191308977841,-0.79,-1.01
2016-01-04,-1.530373098179018,-1.69,-1.53
2016-01-05,0.2012226074739071,0.38,0.1
2016-01-06,-1.3115396617014987,1.27,-1.22
2016-01-07,-2.3700443039098285,0.21,-2.38
2016-01-08,-1.0838374634476389,-0.2,-0.91
2016-01-11,0.08532723085775346,1.24,0.28
2016-01-12,0.7802798638371756,0.94,0.77
2016-01-13,-2.4965452602732516,-0.52,-2.83
2016-01-14,1.6695905641396367,-0.36,1.37
2016-01-15,-2.159909812178409,0.24,-2.02
2016-01-19,0.05318215544080818,0.96,0.0
2016-01-20,-1.169385515275344,0.49,-0.87
2016-01-21,0.519543826464333,-1.84,0.76
2016-01-22,2.028370093089691,-0.41,2.0
2016-01-25,-1.5637981868314241,1.35,-1.29
2016-01-26,1.4144335682203713,-1.72,1.38
2016-01-27,-1.0863483946818713,-0.55,-1.55
2016-01-28,0.5528577110863419,0.05,0.56
2016-01-29,2.4760217481832836,-0.84,2.06
2016-02-01,-0.04432364060282173,0.55,0.26
2016-02-02,-1.8743091042644822,1.2,-1.84
2016-02-03,0.4992038935398218,-2.65,0.67
2016-02-04,0.1526732629409628,-2.15,0.37
2016-02-05,-1.8481246133065947,-0.76,-1.96
2016-02-08,-1.4153935962584503,0.39,-1.24
2016-02-09,-0.06636201005447463,1.56,0.08
2016-02-10,-0.018895050095239695,0.8,-0.14
2016-02-11,-1.2301161634528346,0.42,-1.03
2016-02-12,1.9518049434029339,-1.16,1.85
2016-02-16,1.6516654254666407,-0.91,1.85
2016-02-17,1.6480439087318701,-1.82,1.7
2016-02-18,-0.4665713586089409,0.08,-0.45
2016-02-19,-0.0026033069221595667,1.1,-0.09
